     3.0M  alive= 166 types= 126  H= 6.35  size~  88.8  dom=0008aaa (16%)  foreign=86% fbreed=84% gen=8
     6.0M  alive= 132 types= 102  H= 6.12  size~  87.5  dom=0008aaa (15%)  foreign=96% fbreed=94% gen=8
     9.0M  alive= 132 types= 102  H= 6.12  size~  87.5  dom=0008aaa (15%)  foreign=97% fbreed=96% gen=8
    12.0M  alive= 132 types= 102  H= 6.12  size~  87.5  dom=0008aaa (15%)  foreign=98% fbreed=98% gen=8
    15.0M  alive= 132 types= 102  H= 6.12  size~  87.5  dom=0008aaa (15%)  foreign=98% fbreed=98% gen=8
    18.0M  alive= 134 types= 104  H= 6.16  size~  89.4  dom=0008aaa (15%)  foreign=98% fbreed=98% gen=8
    21.0M  alive= 134 types= 104  H= 6.16  size~  89.4  dom=0008aaa (15%)  foreign=99% fbreed=98% gen=8
    24.0M  alive= 134 types= 104  H= 6.16  size~  89.4  dom=0008aaa (15%)  foreign=100% fbreed=100% gen=8
    27.0M  alive= 134 types= 104  H= 6.16  size~  89.4  dom=0008aaa (15%)  foreign=100% fbreed=100% gen=8
    30.0M  alive= 134 types= 104  H= 6.16  size~  89.4  dom=0008aaa (15%)  foreign=100% fbreed=100% gen=8
    33.0M  alive= 134 types= 104  H= 6.16  size~  89.4  dom=0008aaa (15%)  foreign=100% fbreed=100% gen=8
    36.0M  alive= 134 types= 104  H= 6.16  size~  89.4  dom=0008aaa (15%)  foreign=100% fbreed=100% gen=8
    39.0M  alive= 134 types= 104  H= 6.16  size~  89.4  dom=0008aaa (15%)  foreign=100% fbreed=100% gen=8
    42.0M  alive= 134 types= 104  H= 6.16  size~  89.4  dom=0008aaa (15%)  foreign=100% fbreed=100% gen=8
    45.0M  alive= 142 types= 112  H= 6.29  size~  86.6  dom=0008aaa (14%)  foreign=99% fbreed=100% gen=8
    48.0M  alive= 143 types= 113  H= 6.31  size~  89.8  dom=0008aaa (14%)  foreign=100% fbreed=100% gen=8
    51.0M  alive= 138 types= 109  H= 6.27  size~  86.5  dom=0008aaa (14%)  foreign=100% fbreed=100% gen=8
    54.0M  alive= 138 types= 109  H= 6.27  size~  86.5  dom=0008aaa (14%)  foreign=100% fbreed=100% gen=8
    57.0M  alive= 140 types= 111  H= 6.30  size~  86.2  dom=0008aaa (14%)  foreign=100% fbreed=100% gen=8
    60.0M  alive= 147 types= 118  H= 6.41  size~  82.6  dom=0008aaa (13%)  foreign=100% fbreed=100% gen=8
